Drunk and Hot Girls (feat Mos Def),5:13,Kanye West,Graduation,Graduation2.jpg, https://s3-us-west-1.amazonaws.com/betterplaylists-dev/3.mp3
Everything I Am (feat DJ Premier),3:48,Kanye West,Graduation,Graduation2.jpg, https://s3-us-west-1.amazonaws.com/betterplaylists-dev/3.mp3
Flashing Lights (feat Dwele),3:58,Kanye West,Graduation,Graduation2.jpg, https://s3-us-west-1.amazonaws.com/betterplaylists-dev/3.mp3
Good Life (feat T-Pain),3:27,Kanye West,Graduation,Graduation2.jpg, https://s3-us-west-1.amazonaws.com/betterplaylists-dev/3.mp3
Good Morning,3:15,Kanye West,Graduation,Graduation2.jpg, https://s3-us-west-1.amazonaws.com/betterplaylists-dev/3.mp3
The Glory,3:33,Kanye West,Graduation,Graduation2.jpg, https://s3-us-west-1.amazonaws.com/betterplaylists-dev/3.mp3
Ascension (feat. Vince Staples),2:31,Gorillaz,Humanz (Deluxe),Humanz (Deluxe).jpg, https://s3-us-west-1.amazonaws.com/betterplaylists-dev/3.mp3
Busted and Blue,4:29,Gorillaz,Humanz (Deluxe),Humanz (Deluxe).jpg, https://s3-us-west-1.amazonaws.com/betterplaylists-dev/3.mp3
Carnival (feat. Anthony Hamilton),2:12,Gorillaz,Humanz (Deluxe),Humanz (Deluxe).jpg, https://s3-us-west-1.amazonaws.com/betterplaylists-dev/3.mp3
Charger (feat. Grace Jones),3:28,Gorillaz,Humanz (Deluxe),Humanz (Deluxe).jpg, https://s3-us-west-1.amazonaws.com/betterplaylists-dev/3.mp3
We Got the Power (feat. Jehnny Beth),2:16,Gorillaz,Humanz (Deluxe),Humanz (Deluxe).jpg, https://s3-us-west-1.amazonaws.com/betterplaylists-dev/3.mp3
3,3:05,Flume,Skin,Skin2.jpg, https://s3-us-west-1.amazonaws.com/betterplaylists-dev/3.mp3
Tiny Cities (feat. Beck),3:57,Flume,Skin,Skin2.jpg, https://s3-us-west-1.amazonaws.com/betterplaylists-dev/3.mp3
When Everything Was New,2:27,Flume,Skin,Skin2.jpg, https://s3-us-west-1.amazonaws.com/betterplaylists-dev/3.mp3
Black Beauty,5:15,Lana Del Rey,Ultraviolence,Ultraviolence.jpg, https://s3-us-west-1.amazonaws.com/betterplaylists-dev/3.mp3
Brooklyn Baby,5:52,Lana Del Rey,Ultraviolence,Ultraviolence.jpg, https://s3-us-west-1.amazonaws.com/betterplaylists-dev/3.mp3
Cruel World,6:40,Lana Del Rey,Ultraviolence,Ultraviolence.jpg, https://s3-us-west-1.amazonaws.com/betterplaylists-dev/3.mp3
Flipside,5:12,Lana Del Rey,Ultraviolence,Ultraviolence.jpg, https://s3-us-west-1.amazonaws.com/betterplaylists-dev/3.mp3
Florida Kilos,4:16,Lana Del Rey,Ultraviolence,Ultraviolence.jpg, https://s3-us-west-1.amazonaws.com/betterplaylists-dev/3.mp3
Guns And Roses,4:31,Lana Del Rey,Ultraviolence,Ultraviolence.jpg, https://s3-us-west-1.amazonaws.com/betterplaylists-dev/3.mp3
The Other Woman,3:02,Lana Del Rey,Ultraviolence,Ultraviolence.jpg, https://s3-us-west-1.amazonaws.com/betterplaylists-dev/3.mp3
Ultraviolence,4:12,Lana Del Rey,Ultraviolence,Ultraviolence.jpg, https://s3-us-west-1.amazonaws.com/betterplaylists-dev/3.mp3
West Coast (Radio Mix),3:48,Lana Del Rey,Ultraviolence,Ultraviolence.jpg, https://s3-us-west-1.amazonaws.com/betterplaylists-dev/3.mp3
West Coast,4:17,Lana Del Rey,Ultraviolence,Ultraviolence.jpg, https://s3-us-west-1.amazonaws.com/betterplaylists-dev/3.mp3
